Solute SMILES,LogS
C=CC(=O)Nc1cccc(Oc2nc(Nc3ccc(N4CCN(C)CC4)c(F)c3)nc3[nH]ccc23)c1,6.554395797
CN(CC1)CCN1C2=CC=C(NC3=NCC4C(N([C@H]5CC[C@@H](NC(CC)=O)CC5)C(N(C6=C(Cl)C=CC=C6)C4C)=O)=N3)C=C2C,8.207608311
CN(C)CCOc1ccc(Nc2ncc3nc(Sc4ccc(F)cc4)n(C4CCOCC4)c3n2)cc1,6.943095149
CC1=CC(NC2=NCC3C(N([C@H]4CC[C@H](NC(CC)=O)CC4)C(N(C5=C(Cl)C=CC=C5)C3)=O)=N2)=CC=C1N6CCN(C)CC6,8.508638306
C=CC(NC1=CC=CC(C2=C(C3=CC=C(N4CCN(C)CC4)C=C3)NC5=NC=NC(OCCCSC)=C52)=C1)=O,7.30980392
C=CC(NC1=CC=CC(C2=C(C3=CC=C(N4CCN(C)CC4)C=C3)NC5=NC=NC(OCC(C)C)=C52)=C1)=O,8.070581074
N#CCC1CN(C2CCN(C3=CC(OC)=C(NC4=NC=C(Br)C(NC5=CC=C6OCCOC6=C5P(C)(C)=O)=N4)C=C3CC)CC2)C1,9.387216143
CCC(=O)Nc1cccc(Nc2cc(-c3[nH]c(SC)nc3-c3ccc(F)cc3)ccn2)c1,6.651695137
NCc1cccc(-c2nc(-c3ccc(F)cc3)c(-c3ccnc4[nH]c(-c5ccccc5)cc34)[nH]2)c1,6.473660723
CN(C)C1CCN(c2ccc(Nc3cc4c(N5CCC(CO)CC5)nc(Nc5ccccc5)nc4cn3)nc2)CC1,7.081445469
CCC(=O)N1CCC[C@@H](n2c(=O)c(-c3ccccc3C)c(C)c3cnc(Nc4ccc(N5CCN(C)CC5)c(C)c4)nc32)C1,6.642255675
O=C(OC1=CC=C(C2=NC3=CC=CC=C3C(C4=CC=CC=C4)=C2)C=C1)C5=CC=C(CCl)C=C5,6.946921557
CN1CCN(C2=CC=C(NC3=NC=C4C(N(C5CCCC5)C(CNC6=CC=CC=C6)=C4)=N3)C=C2)CC1,8.0
CP(C)(C1=CC=CC=C1NC2=NC(NC3=CC=C(N4CCC(N5CCN(C)CC5)CC4)C(Cl)=C3)=NC=C2C(F)(F)F)=O,6.0
CCC(=O)N1CCC[C@@H](n2c(=O)c(-c3ccccc3Br)c(C)c3cnc(Nc4ccc(N5CCN(C)CC5)c(C)c4)nc32)C1,6.302683458
CC(C)NC1=CC(NC2=NC(N3CCC(O)CC3)=NC=C2)=NC=C1C(NC)=O,6.575118363
CP(C)(C1=CC=CC=C1NC2=NC(NC3=CC=C(N4CCC(N5CCN(C)CC5)CC4)C(C)=C3)=NC=C2Cl)=O,9.15490196
