SMILES,pIC50,mol,num_atoms,logP
CC(=O)Nc1c(C(C)C)cccc1C(C)C,0.0,<rdkit.Chem.rdchem.Mol object at 0x7f59a3248c10>,16,3.891800000000004
CCCS(=O)(=O)N1CCCC(Nc2ncccc2-c2cnc3ccn(C)c3n2)C1,9.0,<rdkit.Chem.rdchem.Mol object at 0x7f59a2962960>,29,2.6464000000000008
Cc1ccc(C(=N)c2ccc(C)cc2)cc1,0.0,<rdkit.Chem.rdchem.Mol object at 0x7f59a3248ba0>,16,3.719610000000002
NC(=O)c1ccccc1NC(=O)C(Cl)Cl,0.03,<rdkit.Chem.rdchem.Mol object at 0x7f59a32b8ba0>,15,1.5276999999999998
CSC(C)=NOC(=O)N(C)SN(C)C(=O)c1cccc(C(F)(F)F)c1,0.0,<rdkit.Chem.rdchem.Mol object at 0x7f59a32b0270>,25,4.105400000000003
NC1=NCC(CN2CCN(c3ccc(F)cc3)CC2)O1,0.22,<rdkit.Chem.rdchem.Mol object at 0x7f59a32d8c80>,20,0.6611999999999993
CN(C)C(=O)OCc1cccc(Cl)c1,0.0,<rdkit.Chem.rdchem.Mol object at 0x7f59a32b3530>,14,2.5382000000000007
O=[N+]([O-])c1cccc2c1-c1cccc3c([N+](=O)[O-])ccc-2c13,0.0,<rdkit.Chem.rdchem.Mol object at 0x7f59a32cadc0>,22,4.303600000000002
CC(C)OC(=O)C1(S(=O)(=O)c2ccc(Cl)cc2)CCCC1,0.0,<rdkit.Chem.rdchem.Mol object at 0x7f59a32f0900>,21,3.3781000000000025
c1ccc(Cn2cccn2)cc1,0.01,<rdkit.Chem.rdchem.Mol object at 0x7f59a321c7b0>,12,1.9314
O=c1[nH]c2cc(Cl)ccc2c(O)c1-c1cccc(Cc2ccc(CCN3CCOCC3)cc2)c1,0.0,<rdkit.Chem.rdchem.Mol object at 0x7f59a314ec70>,34,5.019600000000006
c1ccc2cc3cc4ccccc4cc3cc2c1,0.0,<rdkit.Chem.rdchem.Mol object at 0x7f59a2979ee0>,18,5.146200000000003
COC(=O)c1ccc(C(=O)OC)c(N)c1,0.14,<rdkit.Chem.rdchem.Mol object at 0x7f59a31377d0>,15,0.8420000000000001
CC1(NC2CCC(n3cc(C(N)=O)c(Nc4ccccc4)n3)C(C#N)C2)COC1,7.62,<rdkit.Chem.rdchem.Mol object at 0x7f59a2952ce0>,29,2.33748
CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21,0.0,<rdkit.Chem.rdchem.Mol object at 0x7f59a2968a50>,21,4.894400000000004
CCCCN(CCC)N=O,0.01,<rdkit.Chem.rdchem.Mol object at 0x7f59a3267370>,10,2.1799
NC(=O)c1cc(-c2ccccc2F)sc1Nc1cccc(CN2CCOCC2)n1,7.47,<rdkit.Chem.rdchem.Mol object at 0x7f59a294fa00>,29,3.6239000000000026
FCC1CO1,0.44,<rdkit.Chem.rdchem.Mol object at 0x7f59a299e570>,5,0.3547
CCCCCC(O)C=CC1C(O)CC(O)C1CC=CCCCC(=O)OCc1ccccc1,0.0,<rdkit.Chem.rdchem.Mol object at 0x7f59a312db60>,32,4.701700000000004
CCOC(=O)c1ccccc1S(=O)(=O)NC(=O)Nc1nc(Cl)cc(OC)n1,0.01,<rdkit.Chem.rdchem.Mol object at 0x7f59a32bcc80>,27,1.8257
Nc1c(Oc2ccccc2)c(Oc2ccccc2)c(N)c2c1C(=O)c1ccccc1C2=O,0.0,<rdkit.Chem.rdchem.Mol object at 0x7f59a3129150>,32,5.211000000000004
CCCCCn1ccc(=O)c(O)c1C,0.01,<rdkit.Chem.rdchem.Mol object at 0x7f59a326e0a0>,14,2.05252
CC(C)(C)c1cccc(C(C)(C)C)c1O,0.0,<rdkit.Chem.rdchem.Mol object at 0x7f59a298f370>,15,3.987200000000004
Nc1ncnc2c1nc(Sc1ccc(Cl)cc1)n2C1OC2COP(=O)(O)OC2C1O,0.01,<rdkit.Chem.rdchem.Mol object at 0x7f59a327ec00>,30,1.9871999999999992
c1ccc2c(c1)COC2,0.02,<rdkit.Chem.rdchem.Mol object at 0x7f59a299da10>,9,1.7168
O=C1NC(=O)C(c2cn(CCCn3ccnc3)c3ccccc23)=C1Nc1ccccc1,5.42,<rdkit.Chem.rdchem.Mol object at 0x7f59a320f300>,31,3.407700000000001
CC(C)(C)C(=O)OCn1cc(F)c(=O)[nH]c1=O,0.6,<rdkit.Chem.rdchem.Mol object at 0x7f59a3128350>,17,0.2224999999999999
CN(C)CCC=C1c2ccccc2CSc2ccccc21,0.0,<rdkit.Chem.rdchem.Mol object at 0x7f59a29898c0>,21,4.675700000000004
CCOC(=O)C(O)C(O)C(=O)OCC,,<rdkit.Chem.rdchem.Mol object at 0x7f59a29776f0>,14,-1.1656000000000004
CC(C)NCC(O)COc1cccc2ccccc12,0.0,<rdkit.Chem.rdchem.Mol object at 0x7f59a299fa00>,19,2.577500000000001
C1=Cc2ccccc2C1,0.01,<rdkit.Chem.rdchem.Mol object at 0x7f59a297ba70>,9,2.2559000000000005
FC(F)Oc1ccccc1,0.01,<rdkit.Chem.rdchem.Mol object at 0x7f59a299b450>,10,2.2880000000000003
COc1ccc(NC(N)=O)cc1Cl,0.01,<rdkit.Chem.rdchem.Mol object at 0x7f59a3266dc0>,13,1.8392
N=C(N)NCCCC(N)C(=O)O,,<rdkit.Chem.rdchem.Mol object at 0x7f59a2970f90>,12,-1.338429999999999
Brc1cccc(-c2cnc(SCCc3c[nH]cn3)[nH]2)c1,0.0,<rdkit.Chem.rdchem.Mol object at 0x7f59a3121cb0>,20,3.897100000000002
Nc1cccc(Cn2cnc3ccccc32)c1,0.0,<rdkit.Chem.rdchem.Mol object at 0x7f59a3145a10>,17,2.666800000000001
Cc1ncc(-c2ccccc2)nc1-c1ccccc1,0.0,<rdkit.Chem.rdchem.Mol object at 0x7f59a3129d20>,19,4.119020000000003
CC(C)OC(=O)C(O)(c1ccc(Br)cc1)c1ccc(Br)cc1,0.0,<rdkit.Chem.rdchem.Mol object at 0x7f59a32240b0>,22,4.3991000000000025
COC(=O)c1ccccc1CS(N)(=O)=O,0.55,<rdkit.Chem.rdchem.Mol object at 0x7f59a32d26c0>,15,0.2617000000000001
CCCCBr,0.01,<rdkit.Chem.rdchem.Mol object at 0x7f59a2986b20>,5,2.1814
CCOc1ccc(NC(=O)OCCN2CCCCC2)cc1,0.0,<rdkit.Chem.rdchem.Mol object at 0x7f59a328ac70>,21,3.1197000000000017
CC(=O)c1c(C)c([N+](=O)[O-])c(C(C)(C)C)c([N+](=O)[O-])c1C,0.0,<rdkit.Chem.rdchem.Mol object at 0x7f59a29751c0>,21,3.6199400000000033
Cc1ccc(S(=O)(=O)C2(C(=O)OC(C)C)CCCC2)cc1,0.0,<rdkit.Chem.rdchem.Mol object at 0x7f59a3126490>,21,3.033120000000002
NC(=O)c1ccc(S(N)(=O)=O)cc1,,<rdkit.Chem.rdchem.Mol object at 0x7f59a32182e0>,13,-0.5670999999999997
CN1CCN(c2ccc(Nc3ncc4ccc(-c5ccccc5N(C)S(C)(=O)=O)n4n3)cc2F)CC1,8.43,<rdkit.Chem.rdchem.Mol object at 0x7f59a295f1b0>,36,3.4266000000000023
Cc1cccc(C)c1[N+](=O)[O-],0.01,<rdkit.Chem.rdchem.Mol object at 0x7f59a29752a0>,11,2.21164
O=C(O)CCCCCC(=O)O,0.08,<rdkit.Chem.rdchem.Mol object at 0x7f59a29883c0>,11,1.1061
CCOC(=O)C(=Cc1ccccc1C)C(=O)OCC,0.0,<rdkit.Chem.rdchem.Mol object at 0x7f59a3265230>,19,2.504620000000001
Cc1ccc(C)c(C)n1,0.01,<rdkit.Chem.rdchem.Mol object at 0x7f59a326cc10>,9,2.00686
C#CCn1nnc(Oc2ccc(NC(=O)N(C)C)cc2)n1,0.06,<rdkit.Chem.rdchem.Mol object at 0x7f59a32d6880>,21,1.1920999999999995
CC1(C)N=C(N)N=C(N)N1c1ccc(I)cc1,0.03,<rdkit.Chem.rdchem.Mol object at 0x7f59a3280200>,17,1.4767
COC(=O)C(C)NP(=O)(OCC1C=CC(n2cc(C)c(=O)[nH]c2=O)O1)Oc1ccc(C)cc1,0.01,<rdkit.Chem.rdchem.Mol object at 0x7f59a3136810>,33,1.9618399999999987
CCCCC(=O)OC(C(=O)NC1C(=O)N2C(C(=O)O)=C(C)CSC12)c1ccccc1,0.01,<rdkit.Chem.rdchem.Mol object at 0x7f59a3113530>,30,2.2196
